video_id,title,upload_date,uploader,duration_seconds,source_url,mp3_relative_path,description_relative_path,thumbnail_relative_path
fFSPwJFXVlw,Autonomous Testing and the Future of Software Development - Will Wilson,20181220,The Linux Foundation,1921,https://www.youtube.com/watch?v=fFSPwJFXVlw,foundationdb-summit-2018/audio/20181220_Autonomous_Testing_and_the_Future_of_Software_Development_-_Will_Wilson_fFSPwJFXVlw.mp3,foundationdb-summit-2018/audio/20181220_Autonomous_Testing_and_the_Future_of_Software_Development_-_Will_Wilson_fFSPwJFXVlw.description,foundationdb-summit-2018/audio/20181220_Autonomous_Testing_and_the_Future_of_Software_Development_-_Will_Wilson_fFSPwJFXVlw.jpg
2HiIgbxtx0c,"Avoiding Conflicts in Highly-Concurrent Applications - Alec Grieser, Apple",20181220,The Linux Foundation,1091,https://www.youtube.com/watch?v=2HiIgbxtx0c,foundationdb-summit-2018/audio/20181220_Avoiding_Conflicts_in_Highly-Concurrent_Applications_-_Alec_Grieser_Apple_2HiIgbxtx0c.mp3,foundationdb-summit-2018/audio/20181220_Avoiding_Conflicts_in_Highly-Concurrent_Applications_-_Alec_Grieser_Apple_2HiIgbxtx0c.description,foundationdb-summit-2018/audio/20181220_Avoiding_Conflicts_in_Highly-Concurrent_Applications_-_Alec_Grieser_Apple_2HiIgbxtx0c.jpg
fN25ERr5nck,"Cross-Region Replication Options with FoundationDB - Evan Tschannen, Apple",20181220,The Linux Foundation,1137,https://www.youtube.com/watch?v=fN25ERr5nck,foundationdb-summit-2018/audio/20181220_Cross-Region_Replication_Options_with_FoundationDB_-_Evan_Tschannen_Apple_fN25ERr5nck.mp3,foundationdb-summit-2018/audio/20181220_Cross-Region_Replication_Options_with_FoundationDB_-_Evan_Tschannen_Apple_fN25ERr5nck.description,foundationdb-summit-2018/audio/20181220_Cross-Region_Replication_Options_with_FoundationDB_-_Evan_Tschannen_Apple_fN25ERr5nck.jpg
KPqmB13zI9c,"FoundationDB Document Layer - Bhaskar Muppana, Apple",20181220,The Linux Foundation,1473,https://www.youtube.com/watch?v=KPqmB13zI9c,foundationdb-summit-2018/audio/20181220_FoundationDB_Document_Layer_-_Bhaskar_Muppana_Apple_KPqmB13zI9c.mp3,foundationdb-summit-2018/audio/20181220_FoundationDB_Document_Layer_-_Bhaskar_Muppana_Apple_KPqmB13zI9c.description,foundationdb-summit-2018/audio/20181220_FoundationDB_Document_Layer_-_Bhaskar_Muppana_Apple_KPqmB13zI9c.jpg
nlus1Z7TVTI,"Future of FoundationDB Storage Engines - Steve Atherton, Apple",20181220,The Linux Foundation,1533,https://www.youtube.com/watch?v=nlus1Z7TVTI,foundationdb-summit-2018/audio/20181220_Future_of_FoundationDB_Storage_Engines_-_Steve_Atherton_Apple_nlus1Z7TVTI.mp3,foundationdb-summit-2018/audio/20181220_Future_of_FoundationDB_Storage_Engines_-_Steve_Atherton_Apple_nlus1Z7TVTI.description,foundationdb-summit-2018/audio/20181220_Future_of_FoundationDB_Storage_Engines_-_Steve_Atherton_Apple_nlus1Z7TVTI.jpg
U6h17dgmkh8,"Growing A Successful and Sustainable Project - Nithya Ruff, Comcast",20181220,The Linux Foundation,1368,https://www.youtube.com/watch?v=U6h17dgmkh8,foundationdb-summit-2018/audio/20181220_Growing_A_Successful_and_Sustainable_Project_-_Nithya_Ruff_Comcast_U6h17dgmkh8.mp3,foundationdb-summit-2018/audio/20181220_Growing_A_Successful_and_Sustainable_Project_-_Nithya_Ruff_Comcast_U6h17dgmkh8.description,foundationdb-summit-2018/audio/20181220_Growing_A_Successful_and_Sustainable_Project_-_Nithya_Ruff_Comcast_U6h17dgmkh8.jpg
KkeyjFMmIf8,"How FoundationDB powers SnowflakeDB's metadata! - Ashish Motivala, Snowflake Computing",20181220,The Linux Foundation,1304,https://www.youtube.com/watch?v=KkeyjFMmIf8,foundationdb-summit-2018/audio/20181220_How_FoundationDB_powers_SnowflakeDB_s_metadata_-_Ashish_Motivala_Snowflake_Computing_KkeyjFMmIf8.mp3,foundationdb-summit-2018/audio/20181220_How_FoundationDB_powers_SnowflakeDB_s_metadata_-_Ashish_Motivala_Snowflake_Computing_KkeyjFMmIf8.description,foundationdb-summit-2018/audio/20181220_How_FoundationDB_powers_SnowflakeDB_s_metadata_-_Ashish_Motivala_Snowflake_Computing_KkeyjFMmIf8.jpg
16uU_Aaxp9Y,"Lightning Talk: Entity Store: A FoundationDB Layer for Versioned... - Stephen Pimentel,",20181220,The Linux Foundation,315,https://www.youtube.com/watch?v=16uU_Aaxp9Y,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Entity_Store_-_A_FoundationDB_Layer_for_Versioned..._-_Stephen_Pimentel_16uU_Aaxp9Y.mp3,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Entity_Store_-_A_FoundationDB_Layer_for_Versioned..._-_Stephen_Pimentel_16uU_Aaxp9Y.description,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Entity_Store_-_A_FoundationDB_Layer_for_Versioned..._-_Stephen_Pimentel_16uU_Aaxp9Y.jpg
Xf6b-PAdIFc,"Lightning Talk: Highlights of the Snowflake Elastic Data Warehouse - Torsten Grabs, Snowflake",20181220,The Linux Foundation,776,https://www.youtube.com/watch?v=Xf6b-PAdIFc,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Highlights_of_the_Snowflake_Elastic_Data_Warehouse_-_Torsten_Grabs_Snowflake_Xf6b-PAdIFc.mp3,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Highlights_of_the_Snowflake_Elastic_Data_Warehouse_-_Torsten_Grabs_Snowflake_Xf6b-PAdIFc.description,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Highlights_of_the_Snowflake_Elastic_Data_Warehouse_-_Torsten_Grabs_Snowflake_Xf6b-PAdIFc.jpg
0xEjlPK3je4,Lightning Talk: Hotspot detection and handling in FoundationDB - Ashish Motivala,20181220,The Linux Foundation,344,https://www.youtube.com/watch?v=0xEjlPK3je4,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Hotspot_detection_and_handling_in_FoundationDB_-_Ashish_Motivala_0xEjlPK3je4.mp3,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Hotspot_detection_and_handling_in_FoundationDB_-_Ashish_Motivala_0xEjlPK3je4.description,foundationdb-summit-2018/audio/20181220_Lightning_Talk_-_Hotspot_detection_and_handling_in_FoundationDB_-_Ashish_Motivala_0xEjlPK3je4.jpg
